Solver Grids Slack Delta_A Delta_B Anneal_Time Max_Bias Chain_Strength Chain_Break Energy Pcost Time Restriction1 Restriction2 Restriction2T Slack_On
4 10 5 2000 1 20 4000.0 2000.5 0.592 -13719.606554912007 325.593632352 0 6 -40.77199999999999 55.73200000000003 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -13639.982263887989 85.51296350400001 0 7 -71.848 36.748000000000005 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -13621.462935759999 261.46652254400004 0 6 -46.419999999999995 53.652000000000015 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -13571.363146063995 197.05623224 0 7 -59.644 40.428 0
4 10 5 2000 1 20 4000.0 2000.5 0.576 -13562.792933311997 237.07709395200004 0 7 -59.775999999999996 36.72800000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -13521.070553487989 14.800034287999999 0 8 -95.548 -7.027999999999992 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -13434.161430143995 194.107398912 0 7 -52.284 40.26800000000003 0
4 10 5 2000 1 20 4000.0 2000.5 0.6 -13422.002653951986 161.376475392 0 5 -60.32 -4.392000000000003 0
4 10 5 2000 1 20 4000.0 2000.5 0.608 -13379.699733903995 152.58690968000002 0 5 -64.268 0.30000000000001137 0
4 10 5 2000 1 20 4000.0 2000.5 0.6 -13371.699733903999 152.58690968000002 0 5 -64.268 0.30000000000001137 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -13363.250664191997 161.376475392 0 5 -60.32 4.248000000000012 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -13360.331807503986 211.70833419200002 0 4 -43.699999999999996 39.876000000000005 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -13346.458023439995 154.566284144 0 5 -61.724 2.8440000000000154 0
4 10 5 2000 1 20 4000.0 2000.5 0.584 -13316.210496464002 367.43553323200007 0 4 -9.315999999999988 25.62000000000002 0
4 10 5 2000 1 20 4000.0 2000.5 0.6 -13271.541487824 82.57121976000002 0 5 -69.112 -4.543999999999983 0
4 10 5 2000 1 20 4000.0 2000.5 0.592 -13224.062723599996 162.17630398400001 0 5 -55.364 9.204000000000015 0
